time,test 1,test 2,test 3,test 4,test 5
seconds,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g
0.131,3.6539,0.24146,-1.5489,-1.9628,-1.5246
0.132,4.4879,1.5649,0.08969,-0.6191,-1.17
0.133,5.5453,2.5574,1.3594,0.58912,-0.24364
0.134,6.3818,3.1832,2.3969,1.2271,1.0448
0.135,7.0522,3.8777,3.9157,2.0027,2.1584
0.136,7.4081,4.8562,5.8221,3.5627,3.2571
0.137,7.0535,5.7582,7.0413,5.2472,4.4906
0.138,6.2844,6.629,6.9888,5.8284,5.7316
0.139,5.4305,7.9197,6.7154,5.6645,6.4457
0.14,4.1832,9.4147,7.3353,6.4401,6.3683
0.141,2.6363,10.423,8.9795,8.2645,6.5107
0.142,1.3691,10.563,10.905,10.143,7.487
0.143,0.95089,9.769,12.163,11.273,9.0675
0.144,1.1719,7.9462,11.798,11.358,10.468
0.145,1.102,5.6474,9.9402,10.6,10.84
0.146,0.50643,3.9869,7.3353,9.453,10.251
0.147,-0.15277,3.1926,4.7359,7.9652,9.3198
0.148,-0.6247,2.7384,2.8314,6.0927,7.9214
0.149,-1.0005,2.1985,1.9156,4.1111,6.1761
0.15,-1.2327,1.6507,1.6759,3.1519,4.8702
0.151,-1.033,1.4899,1.7358,3.3639,4.598
0.152,-0.49486,1.5555,1.8669,3.3879,4.4557
0.153,-0.11657,1.4228,1.8088,2.5227,3.6616
0.154,-0.56602,0.92813,1.5841,1.3516,2.6379
0.155,-1.6435,0.15719,0.79196,0.41651,1.3994
0.156,-2.3439,-0.78697,-0.1444,-0.38751,0.23578
0.157,-2.5798,-1.9278,-0.76052,-0.78078,-0.38846
0.158,-2.9369,-2.0074,-1.2699,-1.0364,-1.18
0.159,-3.6997,-1.3535,-1.5171,-1.1435,-1.969
0.16,-4.4113,-0.97112,-1.2306,-0.99271,-1.5246
0.161,-4.7409,-1.096,-0.60134,-0.6912,-0.4359
0.162,-4.7771,-1.728,-0.83918,-0.7349,-0.30606
0.163,-4.4451,-2.9749,-2.4516,-1.5346,-1.562
0.164,-3.5149,-4.303,-4.4142,-3.1055,-2.8655
0.165,-2.2302,-5.3127,-5.4948,-4.8009,-3.4972
0.166,-1.209,-5.6982,-5.5828,-5.5721,-3.7519
0.167,-0.9568,-5.5967,-5.0978,-5.0303,-4.0415
0.168,-1.1016,-5.4641,-4.5341,-3.7631,-4.1664
0.169,-1.2639,-5.1785,-4.4292,-3.4004,-3.8717
0.17,-1.1316,-4.3093,-4.7925,-4.3749,-3.7918
0.171,-0.76079,-3.3308,-4.873,-5.3646,-4.4635
0.172,-0.67464,-2.7611,-4.3637,-5.2575,-5.2076
0.173,-0.88439,-2.2789,-3.6108,-4.2809,-5.1876
0.174,-0.82071,-1.6079,-2.9947,-3.4572,-4.2812
0.175,-0.33256,-1.4455,-2.446,-2.8608,-2.9753
0.176,0.26672,-2.4162,-2.3243,-2.6095,-2.1763
0.177,0.53764,-3.7911,-2.7887,-2.8018,-2.4684
0.178,0.39656,-4.2578,-3.3842,-3.0159,-3.3873
0.179,0.055722,-3.4119,-3.4179,-2.8236,-3.9042
0.18,-0.17275,-1.728,-2.4141,-2.1135,-3.5321
0.181,0.10691,0.085404,-0.70435,-1.2505,-2.6732
0.182,0.70493,1.2996,0.71705,-0.83977,-1.8816
0.183,0.89595,1.6039,1.1796,-0.87036,-1.2849
0.184,0.079443,1.5274,0.9474,-0.73053,-0.70807
0.185,-1.4824,1.6616,0.79571,-0.11877,-0.10131
0.186,-3.0268,1.9098,1.1347,0.635,0.28822
0.187,-3.681,2.0955,1.8444,1.2773,0.37811
0.188,-2.9881,2.1126,2.6029,1.9,0.56039
0.189,-1.8395,1.7865,2.7995,2.3698,1.1796
0.19,-1.4462,1.003,2.3051,2.5249,2.0136
0.191,-2.1903,-0.069096,1.601,2.1207,2.4731
0.192,-3.681,-0.82443,1.3575,1.6728,2.2933
0.193,-4.8383,-0.68397,1.7751,2.2234,2.3357
0.194,-4.5974,-0.20955,2.0411,3.0646,3.0998
0.195,-2.9419,-0.83379,0.99609,2.3108,3.3445
0.196,-1.2227,-3.1123,-1.4909,-0.45087,1.8189
0.197,-1.2352,-5.8168,-4.0659,-3.3392,-0.94279
0.198,-3.2028,-7.3368,-6.0791,-4.9538,-3.3374
0.199,-5.4426,-6.9467,-7.0023,-5.7491,-4.8505
0.2,-5.6661,-5.2518,-6.3637,-5.6989,-5.5871
0.201,-2.9619,-3.5196,-4.7513,-4.5955,-4.9504
0.202,0.88222,-2.9266,-3.5528,-4.0668,-3.5671
0.203,2.7637,-3.9956,-3.8898,-5.3253,-3.5446
0.204,1.5764,-5.6966,-5.7139,-7.2742,-5.5547
0.205,-1.0629,-5.7216,-7.7214,-8.1546,-8.0916
0.206,-3.1192,-3.7615,-7.8956,-7.462,-9.4699
0.207,-3.3139,-1.9527,-5.5996,-5.5306,-8.7733
0.208,-1.9231,-1.8856,-3.0172,-3.5621,-6.2888
0.209,0.076947,-3.4509,-2.9067,-3.3567,-3.7843
0.21,2.0471,-5.0739,-4.8168,-4.9254,-3.26
0.211,3.3155,-5.3096,-6.6147,-6.5837,-4.5259
0.212,2.9947,-3.9144,-7.508,-8.1612,-6.3562
0.213,1.5077,-1.4518,-6.6222,-8.915,-8.6085
0.214,0.1581,1.0171,-3.431,-7.2457,-9.9369
0.215,-2.8395,2.559,0.52042,-3.726,-8.5436
0.216,-8.3678,1.5118,1.7789,-1.0932,-4.8655
0.217,-15.24,-2.3569,-2.5902,-3.4965,-2.1463
0.218,-20.061,-8.3013,-10.954,-11.753,-5.9792
0.219,-23.732,-15.594,-20.145,-21.489,-16.676
0.22,-29.016,-20.051,-24.87,-26.669,-26.742
0.221,-35.186,-18.526,-23.022,-25.854,-29.166
0.222,-39.23,-16.766,-19.581,-22.741,-25.873
0.223,-38.42,-22.553,-19.125,-20.326,-22.557
0.224,-33.9,-33.273,-20.518,-19.354,-20.619
0.225,-29.418,-41.346,-23.758,-21.257,-18.012
0.226,-27.677,-41.245,-29.241,-26.881,-16.729
0.227,-28.008,-34.142,-34.073,-32.118,-21.985
0.228,-28.439,-25.172,-32.582,-31.812,-29.428
0.229,-26.268,-20.828,-27.084,-26.929,-31.526
0.23,-18.855,-21.434,-25.387,-24.294,-27.948
0.231,-9.2829,-23.776,-27.245,-24.93,-24.876
0.232,-4.0281,-21.939,-24.741,-22.315,-23.156
0.233,-6.3577,-14.772,-16.269,-14.799,-18.566
0.234,-12.036,-5.2955,-5.948,-6.1708,-11.65
0.235,-16.257,0.9531,2.1459,1.7646,-5.2076
0.236,-16.446,0.85478,4.0505,4.9064,0.27074
0.237,-15.302,-5.8979,-2.9947,-1.3947,2.5455
0.238,-15.377,-14.381,-12.877,-11.561,-2.396
0.239,-12.644,-18.029,-16.92,-15.686,-10.394
0.24,-5.5662,-16.557,-13.227,-10.663,-13.228
0.241,1.8161,-15.031,-7.5042,-3.6582,-9.8994
0.242,6.0447,-15.572,-7.0341,-2.9176,-5.3824
0.243,8.5729,-14.494,-9.1616,-6.7957,-2.6532
0.244,9.4656,-9.9118,-10.536,-9.542,-1.9066
0.245,7.2595,-2.7658,-8.9499,-9.0788,-4.2588
0.246,3.6826,4.3365,-4.1052,-6.7476,-6.5185
0.247,0.52265,10.657,2.1853,-4.0362,-7.1453
0.248,-1.8982,13.121,4.9401,-2.651,-7.2252
0.249,-3.9095,7.3048,1.6441,-4.0821,-8.2539
0.25,-4.7359,-5.0318,-4.5528,-6.9726,-9.6447
0.251,-5.2004,-13.543,-8.7252,-8.1284,-9.44
0.252,-7.1518,-13.545,-10.308,-8.2573,-8.2065
0.253,-8.5501,-10.266,-10.238,-9.3585,-7.7395
0.254,-7.5163,-8.9754,-9.8414,-11.511,-9.5623
0.255,-5.5874,-9.5217,-10.568,-13.134,-12.509
0.256,-5.1854,-9.1986,-12.501,-12.535,-13.465
0.257,-6.3565,-5.8417,-11.931,-10.173,-13.95
0.258,-7.7698,0.055753,-7.3188,-7.2436,-14.109
0.259,-8.3191,3.7825,-1.7606,-3.136,-11.527
0.26,-4.7197,3.7091,3.9737,2.597,-4.6533
0.261,3.554,1.3854,7.1592,6.3855,3.3969
0.262,12.111,-2.0635,7.4289,7.2879,7.8066
0.263,16.004,-2.2602,7.7229,9.5842,10.421
0.264,14.541,1.4244,9.5338,13.277,15.29
0.265,12.486,6.4121,13.362,16.735,19.465
0.266,11.655,11.083,16.626,18.667,21.939
0.267,9.6728,11.704,15.326,17.454,22.104
0.268,6.0459,8.3613,10.671,14,19.862
0.269,3.6951,5.0201,5.485,8.8391,16.376
